Bladder,bladder,,,,,,,,,,,,,
Spleen,SP,,,,,,,,,,,,,
Stomach,Stomach,istomach,,,,,,,,,,,,
Thyroid,Thyroide,Thyroid Gland,,,,,,,,,,,,
TMJ_L,Lt TM joint,TMJ L,TMJ-L,Left TMJ,TM_JOINT_LT,,,,,,,,,
TMJ_R,Rt TM joint,TMJ R,TMJ-R,Right TMJ,TM_JOINT_RT,,,,,,,,,
Trachea,Trachea,Trachee,,,,,,,,,,,,
Urethra,,,,,,,,,,,,,,
GTV,,,,,,,,,,,,,,
GTVnd,,,,,,,,,,,,,,
CTV,ITV,ICTV,,,,,,,,,,,,
PTV,,,,,,,,,,,,,,
Cord_PRV,Cord PRV,,,,,,,,,,,,,
